V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
637.83154296875,577.15265,537.99036,494.80463,484.34277,479.60495,456.88684,463.49207,495.71655,536.4237,578.56976,649.49316,709.753,768.296,817.4763,864.8403,861.7051,881.63196,876.9924,853.5533,818.49335,803.7494,736.7724,678.978,649.1559,582.17725,532.2809,490.85388,467.55823,474.4521,481.71872,475.74536,483.5739,517.54767,588.3361,628.93134,697.9313,746.2825,811.1964,839.75684,873.9741,848.60315,845.13275,850.14185,823.81433,783.7721,741.037,674.10175
2897.744140625,2631.181,2451.0205,2228.0515,2146.5886,2115.227,1979.0618,1973.2517,2136.6929,2317.6265,2459.3218,2750.6577,2977.028,3239.7444,3462.1914,3632.3188,3662.7583,3797.2444,3816.3118,3789.54,3642.016,3613.624,3322.4006,3096.4304,2945.3018,2642.8784,2443.4092,2208.6655,2076.5806,2102.4795,2087.9849,2049.1538,2102.517,2260.2617,2536.8396,2685.8184,2951.6582,3161.17,3459.618,3576.252,3742.6592,3679.589,3688.8816,3780.865,3661.2632,3523.5203,3368.6565,3087.9202
1285.426025390625,1190.0485,1118.8394,1030.4377,972.8828,949.5064,883.62366,847.8799,892.72644,933.2243,979.71545,1047.5017,1097.8047,1172.5469,1242.0795,1296.4346,1326.4288,1354.745,1391.2119,1373.8634,1372.7429,1384.7429,1344.5157,1287.103,1239.3007,1183.091,1113.5436,1003.2786,946.20605,905.34973,873.90546,869.83765,879.58057,904.7251,962.80066,1009.67834,1077.9674,1147.6631,1200.4283,1245.1248,1303.0153,1302.5792,1308.4146,1338.5273,1355.4617,1314.6548,1326.2611,1261.7003
5433.21484375,5034.3125,4852.4746,4511.573,4286.5024,4084.3745,3843.2742,3667.9797,3710.5962,3755.9033,3815.5327,4023.1768,4163.063,4429.9595,4784.9272,5010.788,5129.7144,5480.891,5700.024,5821.8877,5865.366,5959.2593,5740.6426,5525.7324,5426.7783,5141.16,4750.969,4476.957,4165.029,4091.769,3841.685,3734.2273,3571.0154,3643.1978,3797.017,3852.0679,4065.4045,4335.2183,4699.2373,4924.968,5262.3096,5330.3516,5609.7188,5889.149,5952.7593,5893.526,5886.87,5560.524
3292.4736328125,2865.3184,2690.3064,2350.975,2154.253,2039.0521,1803.9143,1672.1924,1759.584,1787.1935,1852.855,1951.8992,2085.6777,2275.2952,2584.339,2818.5486,2939.4937,3209.8098,3490.0464,3467.628,3622.069,3711.678,3561.0503,3301.1882,3166.4236,2908.925,2613.2227,2247.8472,2057.909,1904.1271,1809.6079,1628.2258,1631.6823,1711.611,1724.5634,1825.0844,2013.0204,2194.3103,2400.9214,2648.1362,2946.1506,3043.1865,3240.3267,3371.4756,3590.4922,3438.5784,3482.1443,3223.6267
5134.8974609375,5251.276,5460.7876,5746.7593,5903.5483,6113.7783,6465.4033,6663.4414,6972.519,7128.3765,7248.3643,7310.097,7416.7427,7367.2217,7171.862,7090.3276,6917.7915,6527.206,6174.797,5724.2397,5577.457,5299.205,5084.2896,4997.1396,5108.028,5278.649,5448.0986,5641.3496,5887.459,6092.1216,6559.2437,6727.787,6851.2373,7186.2715,7154.494,7131.3164,7247.4575,7261.6143,7230.0303,6993.2915,6822.6978,6409.522,6077.3374,5706.81,5460.3516,5187.122,5122.529,5045.0684
46749.04296875,43447.49,41529.297,37938.098,35655.15,34179.42,31169.375,29537.48,29910.406,29981.764,30389.86,31808.502,32926.395,35134.344,38098.168,40206.438,41415.992,43919.656,46599.96,46470.46,47995.574,49116.51,48312.086,46572.39,45632.22,43527.15,40751.926,36966.72,34888.094,32648.104,31065.348,29801.852,28848.871,29263.527,29766.6,30674.492,32290.38,34151.35,36458.098,38575.684,41527.797,42470.76,44092.434,46108.9,47891.06,46789.047,47332.605,45654.28
28474.03515625,26089.133,24295.613,23072.562,22525.357,22872.352,22501.494,22756.541,24830.729,26858.746,28574.934,31068.273,33228.426,35687.336,36970.234,38737.18,38477.57,39303.867,38880.562,37596.043,36095.3,35271.78,32060.848,29852.346,28110.918,25853.15,24339.404,22976.375,21889.232,22099.416,22975.578,22900.406,24153.42,25958.252,28277.97,29897.932,32556.822,34568.117,36649.668,37603.668,38860.32,37642.113,37206.355,36948.477,35685.773,33993.797,32686.197,29335.08
35790.76953125,33508.254,31876.453,30138.053,29290.652,29032.168,27943.059,27633.258,28870.953,30391.295,31521.018,33849.633,35741.117,38216.37,40058.176,41675.414,42054.66,43534.29,43641.996,43531.8,42158.812,41911.77,38980.875,37211.21,35819.57,33662.605,31816.531,30090.568,28754.586,28902.0,28538.115,28346.66,28628.031,29810.963,31913.186,33167.723,35231.562,37547.453,39973.566,41090.58,42751.754,42279.785,42601.406,43477.094,42210.555,41166.62,40058.477,37286.09
444.8335876464844,429.77194,420.21338,406.6946,400.48016,396.28616,385.0782,382.19165,383.56485,390.5063,397.9628,405.49042,411.6938,425.24026,438.2027,444.674,448.4453,454.11594,461.04483,457.72754,458.06528,459.0887,452.2197,443.18784,438.00803,430.11246,417.6446,404.63144,395.29742,386.67545,384.42603,382.27625,379.68466,380.50177,389.0735,396.69598,409.52826,418.85052,428.49432,436.09647,445.6491,445.33255,448.72382,450.66534,455.77948,452.38217,450.2177,441.91412
26523.865234375,25741.707,25050.246,24740.363,25000.203,25931.04,26678.904,27647.295,30340.65,31982.482,33796.188,35334.5,36686.652,38037.082,38443.324,39115.816,39006.234,38427.125,37580.785,35017.375,33739.93,31999.713,29359.414,27297.725,26104.207,25285.531,24828.938,24248.15,24542.754,25230.912,27632.873,27778.748,29244.695,31866.49,32998.16,33860.457,35797.85,36961.71,38305.844,38143.91,38640.914,36965.664,35700.953,34405.73,33131.875,30485.23,29276.854,26836.73
7880.83837890625,7121.8716,6617.541,6232.4106,6075.524,6172.119,6061.625,6119.26,6783.0635,7379.4536,7907.9346,8675.299,9313.787,10023.694,10454.418,11002.478,10927.615,11192.879,11094.26,10659.336,10235.189,9963.524,8971.041,8278.522,7751.733,7067.304,6605.745,6156.3115,5845.176,5892.257,6188.8916,6169.4365,6551.6016,7108.923,7819.2114,8286.826,9113.095,9711.468,10328.3125,10655.604,11049.904,10662.4375,10569.828,10433.095,10104.684,9503.743,9130.37,8103.5156
528.6408081054688,527.8366,471.83304,478.55933,455.29782,464.534,451.27258,492.87137,555.5819,578.80475,621.2364,626.41626,652.10016,690.9874,680.552,699.04,703.9436,708.53265,691.18475,657.2329,649.95636,627.0205,628.79083,582.3735,550.68353,498.65494,486.6637,481.23956,447.34827,459.47446,463.49402,441.13403,524.45636,540.79944,550.20917,620.46436,644.058,655.5235,674.5092,681.7604,687.7485,685.9404,650.84924,643.57983,618.9431,652.287,591.5979,565.26825
181.9310302734375,168.3457,161.94115,150.53226,145.25702,141.99268,134.99709,131.85294,135.88942,141.03993,145.42041,153.95923,159.72652,167.22072,177.23271,185.06581,187.21304,192.16896,197.32254,194.09015,195.78745,195.80893,191.41719,181.94775,177.63205,168.75722,160.12486,147.64775,141.26826,135.92082,134.90105,131.97499,132.48259,135.90971,142.31335,148.09975,158.02695,164.27255,171.03221,176.81793,185.15355,185.56659,187.72324,190.37625,194.20837,187.61465,188.07152,178.51707
13366.041015625,12297.877,11457.411,10872.981,10637.312,10812.423,10654.655,10771.824,11739.741,12692.262,13445.43,14605.777,15613.757,16741.23,17305.36,18077.271,17966.178,18307.207,18081.814,17515.795,16806.088,16444.365,14995.405,13976.84,13191.828,12182.369,11492.001,10867.616,10389.393,10503.556,10913.824,10864.399,11412.673,12303.162,13348.199,14078.4375,15260.156,16204.991,17188.027,17573.879,18119.344,17553.564,17333.244,17253.092,16650.979,15884.085,15265.668,13805.5205
1279.8590087890625,1192.6714,1125.5944,1043.2234,992.7677,976.51404,926.41516,893.1159,941.402,997.15735,1029.2495,1117.2865,1190.4652,1286.3552,1379.7598,1437.145,1476.5105,1552.0022,1562.315,1576.7177,1526.4744,1528.0306,1408.754,1344.6075,1294.1598,1198.9484,1123.5586,1034.2993,982.79126,988.3247,956.111,945.9029,944.6843,984.0088,1056.521,1094.6241,1166.1305,1270.5688,1381.6423,1422.8489,1513.8802,1501.1024,1528.8884,1592.1104,1537.2866,1508.264,1462.1018,1360.4501
53803.9609375,49842.15,46710.195,43347.33,41703.35,41097.9,39086.79,38368.16,40723.605,42925.895,45014.36,48159.95,51637.684,55947.562,59507.305,62598.305,63709.094,66024.09,66899.914,66229.71,64133.152,64065.402,59590.367,56269.477,53855.742,49824.87,46622.95,42853.223,40530.86,40737.727,39949.3,39385.582,40199.082,41910.297,44841.375,47264.887,50794.066,54513.67,59076.047,61151.65,64481.79,63658.36,64228.766,65381.402,63965.2,62391.098,60157.5,55712.05
28541.775390625,26025.55,24344.406,23001.72,22560.445,22968.96,22736.967,23146.316,25301.418,27545.244,29742.03,32432.523,34321.64,36464.746,37827.023,39080.855,38796.008,38853.406,38426.883,37096.023,35560.55,34590.727,31955.31,29611.871,27996.084,25963.57,24141.883,22578.531,22023.07,22079.934,23202.191,23572.031,24681.54,26871.078,29607.498,31231.11,34022.3,35474.758,37317.32,38243.836,38735.934,37308.875,36846.066,36179.266,35233.082,33262.24,32105.611,29275.855
2120.838134765625,1950.8948,1808.2188,1725.4707,1684.133,1732.0146,1732.5626,1776.3011,1941.166,2119.2756,2288.25,2462.9653,2611.431,2782.3113,2856.665,2930.1284,2918.5178,2916.142,2860.2368,2769.2346,2641.3318,2564.425,2373.9407,2215.8997,2078.8284,1923.3231,1818.0582,1721.4167,1674.7253,1689.1526,1773.585,1799.3069,1918.381,2074.8035,2263.0623,2401.1724,2578.7744,2700.4675,2839.4336,2894.4004,2911.6985,2808.4756,2751.3984,2710.3638,2603.6611,2503.0793,2404.6921,2197.3796
