V1,V2,V3,V4,V5,V6
7291.93603515625,7301.96,7325.32,7334.091,7337.456,7337.7627
1548.71630859375,1581.468,1604.7458,1653.0709,1695.9614,1743.1311
8517.421875,8749.719,8948.047,9163.472,9368.72,9586.992
9843.138671875,10116.818,10331.112,10586.718,10824.314,11066.576
7025.74853515625,7330.826,7589.5146,7892.3613,8143.9346,8465.082
4084.299072265625,4256.532,4392.6943,4584.043,4738.22,4953.0405
3678.53076171875,3811.4043,3912.8462,4065.3965,4190.0654,4373.4824
2396.451171875,2396.3047,2396.1487,2396.4944,2395.7134,2400.9385
2303.45947265625,2329.3032,2350.2778,2379.2192,2401.9934,2437.2708
2316.800048828125,2331.6401,2344.1016,2364.255,2382.303,2419.981
1487.486083984375,1501.7056,1513.0135,1529.3608,1541.5435,1560.4684
2000.402099609375,2051.3125,2093.419,2147.7722,2190.7678,2248.3123
4719.51708984375,4831.6787,4953.413,5030.352,5131.031,5225.4116
5106.29541015625,5191.3145,5283.4326,5348.8984,5426.521,5506.594
5412.3134765625,5545.975,5681.5396,5804.024,5941.16,6082.57
2595.604736328125,2625.7515,2662.2056,2674.1287,2693.0693,2698.5156
3857.441650390625,3934.3477,4013.0942,4071.2686,4143.087,4199.084
3202.761474609375,3240.7603,3284.1873,3304.21,3332.9949,3349.181
3042.17822265625,3300.2007,3505.5269,3781.5173,4015.7043,4351.1235
6538.287109375,6702.672,6835.4443,7017.7266,7159.4883,7339.8096
9598.224609375,10081.417,10451.962,10979.184,11372.789,11860.736
4392.83203125,4570.107,4694.867,4888.436,5044.6665,5283.0356
9629.29296875,9663.955,9603.013,9640.199,9685.299,9753.628
8871.08203125,8998.316,9029.384,9161.254,9283.789,9453.629
2392.580810546875,2488.4653,2561.9297,2668.0261,2749.8923,2856.6125
7366.63916015625,7630.866,7818.5596,8134.298,8378.986,8747.129
1770.7535400390625,1836.238,1881.5394,1953.489,2011.5386,2091.2861
1731.103271484375,1783.5686,1820.7686,1883.1433,1934.1064,2010.3384
4182.71630859375,4235.797,4275.6133,4340.895,4393.9824,4478.3213
4510.4208984375,4618.4727,4707.514,4823.0054,4912.2485,5033.815
3730.080810546875,3726.5532,3719.6038,3711.234,3711.405,3749.3625
5418.9833984375,5495.2573,5556.5034,5643.47,5714.2803,5821.563
1276.447265625,1296.3878,1312.5358,1333.9531,1348.8278,1370.0208
